customer_id,age,gender,tenure_months,city_tier,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,total_day_calls,total_eve_calls,total_night_calls,total_day_minutes,total_eve_minutes,total_night_minutes,total_day_charge,total_eve_charge,total_night_charge,total_monthly_charge,customer_service_calls,international_plan,international_calls,voicemail_plan,voicemail_messages,total_data_usage_gb,churned
CUST00001,56,Female,15,Tier-2,Yes,Fiber optic,No,No internet service,No,No,No internet service,No,Month-to-month,Yes,Credit card,188,20,102,104.16,193.79,99.45,33.93,20.71,15.4,62.61,5,Yes,0,No,0,40.14,Yes
CUST00002,68,Female,55,Tier-3,No,DSL,No internet service,No,No,No,No,No,Month-to-month,No,Credit card,130,50,134,119.99,247.37,214.55,19.78,28.38,12.33,64.92,0,No,0,No,0,37.29,Yes
CUST00003,53,Female,48,Tier-1,Yes,Fiber optic,Yes,No internet service,Yes,No,Yes,No internet service,One year,Yes,Bank transfer,189,39,81,267.04,253.55,204.82,20.47,19.52,5.62,44.5,7,Yes,10,Yes,7,58.38,No
CUST00004,40,Female,37,Tier-2,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,No internet service,One year,No,Electronic check,103,34,192,166.34,195.94,223.39,22.2,21.56,14.25,50.52,2,Yes,6,No,0,64.72,No
CUST00005,68,Female,28,Tier-3,Yes,DSL,No internet service,Yes,No,Yes,Yes,No internet service,Two year,Yes,Electronic check,44,61,184,144.74,152.23,179.26,26.56,37.51,13.36,52.08,0,No,0,No,0,22.03,No
CUST00006,59,Female,24,Tier-3,Yes,Fiber optic,No,No,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,117,159,95,45.42,263.19,199.23,38.18,19.45,11.21,71.86,7,Yes,16,No,0,49.45,Yes
CUST00007,21,Male,56,Tier-1,No phone service,Fiber optic,No internet service,No,Yes,No internet service,Yes,Yes,One year,No,Mailed check,37,23,68,220.26,269.62,155.97,25.07,39.23,23.53,78.1,2,No,0,No,0,51.54,No
CUST00008,67,Male,31,Tier-3,No phone service,No,No,No internet service,No,Yes,No internet service,Yes,One year,Yes,Electronic check,98,6,143,161.37,265.36,119.63,32.6,37.82,8.82,45.19,2,No,0,No,0,53.69,No
CUST00009,46,Female,66,Tier-2,No phone service,Fiber optic,No,Yes,No,Yes,No internet service,Yes,Two year,Yes,Credit card,188,168,160,149.76,180.83,176.87,38.67,39.58,17.09,36.7,2,No,0,Yes,29,27.75,No
CUST00010,22,Female,61,Tier-2,No,No,No,No,No internet service,No,No internet service,No,One year,Yes,Credit card,3,34,191,96.46,224.12,188.83,34.73,29.27,10.77,42.28,6,No,0,No,0,64.28,Yes
CUST00011,44,Female,2,Tier-1,No phone service,Fiber optic,No,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Mailed check,103,160,136,102.05,269.1,245.26,33.04,32.57,15.12,78.08,8,No,0,Yes,7,37.92,Yes
CUST00012,42,Female,63,Tier-3,No phone service,No,No internet service,Yes,No internet service,No internet service,No,No internet service,One year,Yes,Mailed check,149,57,57,126.4,254.45,203.21,22.85,36.8,11.35,68.25,3,No,0,No,0,28.45,No
CUST00013,43,Male,62,Tier-3,Yes,DSL,Yes,No internet service,Yes,No,No,No,Month-to-month,No,Mailed check,136,139,128,133.29,184.11,215.89,39.45,42.66,16.89,89.77,5,No,0,Yes,25,17.76,Yes
CUST00014,69,Male,16,Tier-1,No,No,No internet service,Yes,Yes,Yes,No internet service,No internet service,One year,Yes,Mailed check,175,84,38,125.94,95.31,179.0,30.02,37.56,24.67,71.21,7,No,0,No,0,52.78,Yes
CUST00015,54,Female,67,Tier-3,No,No,Yes,No internet service,No,Yes,No internet service,No internet service,One year,Yes,Electronic check,167,73,42,164.05,168.87,189.59,24.11,38.5,16.79,54.61,7,No,0,No,0,40.14,No
CUST00016,79,Female,37,Tier-1,No,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,Yes,Two year,No,Mailed check,182,12,22,129.6,213.08,200.61,24.77,39.49,13.8,77.81,8,No,0,No,0,68.62,Yes
CUST00017,53,Male,23,Tier-3,Yes,DSL,No internet service,Yes,Yes,No,Yes,No internet service,Two year,No,Credit card,38,108,180,115.04,199.56,95.5,26.91,38.04,18.07,85.37,5,Yes,12,Yes,8,85.41,Yes
CUST00018,24,Male,45,Tier-3,No,DSL,Yes,No internet service,Yes,Yes,Yes,No,One year,Yes,Bank transfer,69,158,18,165.55,273.77,242.88,29.81,19.97,14.91,60.67,9,No,0,No,0,46.8,No
CUST00019,70,Female,58,Tier-1,Yes,DSL,No,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,159,172,60,136.63,194.81,242.18,22.98,20.33,22.18,54.47,9,No,0,No,0,28.67,No
CUST00020,71,Male,17,Tier-1,No,DSL,Yes,No internet service,No internet service,Yes,Yes,No internet service,Two year,Yes,Electronic check,156,140,45,234.23,113.48,207.1,26.9,18.3,14.46,87.91,0,No,0,No,0,70.74,Yes
CUST00021,23,Female,69,Tier-3,Yes,No,No,No,No,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,101,2,180,229.81,230.05,167.79,22.6,23.51,10.76,50.96,3,No,0,No,0,77.12,No
CUST00022,29,Male,54,Tier-3,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,56,144,111,19.56,167.25,229.69,32.03,30.5,23.05,84.11,2,No,0,No,0,74.26,No
CUST00023,27,Male,69,Tier-3,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,52,193,125,84.78,233.48,218.33,24.86,19.41,14.69,79.33,1,No,0,Yes,20,31.2,Yes
CUST00024,66,Female,45,Tier-1,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No,One year,No,Bank transfer,25,46,120,156.13,298.67,181.05,31.82,22.25,15.12,69.73,7,No,0,No,0,28.81,Yes
